Row Labels,Sum of Cases,Sum of Deaths,CFR,WorldPop,WPPM,Cases/M,Deaths/M,Country ,urban,Popdens,Obesity_rate,Diabetes_prevalence,Old-age,Hypertension,Avg_temp,Tot_Rain,AQI
Kenya,1603,0,0,47486935,47.486935,33.75665328,0,,,,,,,,,,
Liberia,45,0,0,45657202,45.657202,0.985605732,0,,,,,,,,,,
Mauritania,6038,0,0,612985,0.612985,9850.159466,0,,,,,,,,,,
Mayotte,64,0,0,10467097,10.467097,6.11439829,0,,,,,,,,,,
Micronesia (Federated States of),43,0,0,8691406,8.691406,4.947415873,0,,,,,,,,,,
Montserrat,21,0,0,9750064,9.750064,2.153832016,0,,,,,,,,,,
New Caledonia,16,0,0,8644829,8.644829,1.850817408,0,,,,,,,,,,
Nigeria,84,0,0,1849,0.001849,45429.96214,0,,,,,,,,,,
Northern Mariana Islands (Commonwealth of the),1,0,0,106017,0.106017,9.432449513,0,,,,,,,,,,
Palau,4,0,0,1525663,1.525663,2.621810977,0,,,,,,,,,,
Saint Barthélemy,2678,0,0,84775404,84.775404,31.58935108,0,,,,,,,,,,
Samoa,473,0,0,6341855,6.341855,74.58385599,0,,,,,,,,,,
Saudi Arabia,8193,0,0,45114,0.045114,181606.5966,0,,,,,,,,,,
Senegal,962,0,0,11204,0.011204,85862.19207,0,,,,,,,,,,
Seychelles,7197,0,0,45853778,45.853778,156.9554421,0,,,,,,,,,,
Singapore,12798,0,0,43531422,43.531422,293.9945311,0,,,,,,,,,,
Sint Maarten (Dutch part),158,0,0,67281039,67.281039,2.348358503,0,,,,,,,,,,
Solomon Islands,125,0,0,336997624,336.997624,0.370922496,0,,,,,,,,,,
Spain,10,0,0,100091,0.100091,99.90908273,0,,,,,,,,,,
Tokelau,4,0,0,3426260,3.42626,1.167453725,0,,,,,,,,,,
Tonga,14,0,0,34081449,34.081449,0.410780657,0,,,,,,,,,,
Turks and Caicos Islands,467,0,0,319137,0.319137,1463.321395,0,,,,,,,,,,
Tuvalu,1,0,0,28199867,28.199867,0.03546116,0,,,,,,,,,,
United States of America,5327,0,0,97468029,97.468029,54.65381884,0,,,,,,,,,,
United States Virgin Islands,155,0,0,11627,0.011627,13331.03982,0,,,,,,,,,,
Vanuatu,138,0,0,19473125,19.473125,7.086689989,0,,,,,,,,,,
Wallis and Futuna,78,0,0,15993524,15.993524,4.876973955,0,,,,,,,,,,
